Route,School_Clip,Person to Score,Teachear provides learning activity to most students - 1st Snapshot,Students are on task - 1st snapshot,Teachear provides learning activity to most students - 2nd Snapshot,Students are on task - 2nd snapshot,Teachear provides learning activity to most students - 3rd Snapshot,Students are on task - 3rd snapshot,1. Supportive Learning Environment,1.1 The teacher treats all students respectfully,1.2 The teacher uses positive language,1.3 The teacher responds to students needs,1.4 The teacher does not exhibit gender biasâ¦,2. Positive Behavioral Expectations,2.1 The teacher sets clear behavioral expectations,2.2 The teacher acknowledges positive student behavior,2.3 The teacher redirects misbehaviorâ¦,3. Lesson Facilitation,3.1 The teacher explicitly articulatesâ¦,3.2 The teacher's explanation of content is clear,3.3 The teacher makes connections in the lessonâ¦,3.4 The teacher models by enacting or thinking aloud,4. Checks for understanding,"""4.1 The teacher uses questions","promptsâ¦""",4.2 The teacher monitors most studentsâ¦,4.3 The teacher adjusts teaching to the level of students,5. Feedback,5.1 The teacher provides specific comments or promptsâ¦. Misunderstandings,5.2 The teacher provides specific comments or promptsâ¦. Successes,6. Critical Thinking,6.1 The teacher asks open-ended questions,6.2 The teacher provides thinking tasks,6.3 The students ask open-ended questions or performs thinking tasks,7. Autonomy,7.1 The teacher provides students with choices,7.2 The teacher provides students with opportunitiesâ¦.,7.3 The students volunteer to participate in the classroom,8. Perseverance,8.1 The teacher acknoledges students' efforts,8.2 The teacher has a positive attitude towards students' challenges,8.3 The teacher encourages goal-setting,9. Social & Collaborative Skills,9.1 The teacher promotes students' collaborationâ¦,9.2 The teacher promotes students' interpersonal skills,9.3 Students collaborate with one anotherâ¦.,Unnamed,Unnamed_1,Source Table,Unnamed_2,clip,Person Scoring,1.4 The teacher does not exhibit gender bias,2.3 The teacher redirects misbehavior,3.1 The teacher explicitly articulates,3.3 The teacher makes connections in the lesson,"prompts""",4.2 The teacher monitors most students,5.1 The teacher provides specific comments or prompts. Misunderstandings,5.2 The teacher provides specific comments or prompts. Successes,7.2 The teacher provides students with opportunities.,9.1 The teacher promotes students' collaboration,9.3 Students collaborate with one another.,Comments,Unnamed_3,Identifier,Audio File 1,Audio File 2,Transcription 1,Transcription 2,Language,Context
5.0,670430 Clip 2,Carolina,Y,M,Y,H,Y,H,4,H,H,,M,4,H,L,H,3,M,H,L,L,4,H,H,M,4,H,M,2,L,M,M,2,L,M,M,2,L,M,L,2,L,L,M,,,,Peru,,,,,,,,,,,,,,,,,observation_00080,,,,,,
5.0,935650 Clip 1,Carolina,Y,H,Y,M,Y,M,3,H,L,,M,3,M,L,H,3,M,H,L,L,3,M,M,M,2,M,L,2,L,M,M,1,L,L,L,2,L,M,L,2,L,L,M,,,,Peru,,,,,,,,,,,,,,,,,observation_00081,,,,,,
5.0,935650 Clip 2,Carolina,Y,M,Y,H,Y,M,4,H,M,,M,3,M,L,H,3,M,H,L,L,4,H,H,M,2,M,L,2,L,M,M,4,H,M,M,2,L,M,L,4,H,M,H,,,,Peru,,,,,,,,,,,,,,,,,observation_00082,,,,,,
5.0,1160225 Clip 1,Carolina,Y,H,Y,H,Y,H,4,H,H,,M,3,H,L,M,3,M,H,L,L,2,M,,L,1,L,L,1,L,L,L,2,L,M,M,2,L,M,L,1,L,L,L,Una parte de la clase ocurre en el patio (juegan),,,Peru,,,,,,,,,,,,,,,,,observation_00083,,,,,,
5.0,1160225 Clip 2,Carolina,Y,H,Y,M,?,?,4,H,H,,M,4,H,L,H,3,M,H,L,L,4,M,H,M,2,M,L,1,L,L,L,2,L,L,H,2,L,M,L,3,H,L,H,SS abandonan aula para hacer encuesta (12:00 hasta final),,,Peru,,,,,,,,,,,,,,,,,observation_00084,,,,,,
6.0,347468 Clip 1,Carolina,Y,M,N,,Y,M,3,H,L,H,M,4,H,L,H,3,L,H,M,L,2,M,,L,1,L,L,2,M,L,L,2,L,M,M,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00085,,,,,,
6.0,347468 Clip 2,Carolina,Y,M,Y,M,Y,M,4,H,M,,M,4,H,L,H,3,L,H,L,L,3,M,,M,2,M,L,2,M,L,L,2,L,M,M,2,L,M,L,2,L,M,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00086,,,,,,
6.0,383760 Clip 1,Carolina,Y,H,Y,H,Y,H,4,H,M,H,M,2,M,L,M,3,L,H,L,L,4,H,M,M,2,M,L,1,L,L,L,2,L,M,M,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00087,,,,,,
6.0,383760 Clip 2,Carolina,Y,H,Y,H,Y,M,4,H,M,,M,4,H,L,H,3,M,H,L,L,3,M,M,M,2,M,L,2,L,M,M,2,L,M,M,2,L,M,L,2,L,L,M,,,,Peru,,,,,,,,,,,,,,,,,observation_00088,,,,,,
6.0,389163 Clip 1,Carolina,Y,H,Y,M,Y,H,4,H,H,,M,4,H,L,H,3,H,H,L,L,2,M,,L,1,L,L,1,L,L,L,2,L,M,M,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00089,,,,,,
6.0,389163 Clip 2,Carolina,Y,H,Y,L,Y,H,4,H,H,,M,4,H,L,H,4,H,H,M,M,4,H,H,M,2,M,L,3,L,H,H,2,L,M,M,2,L,M,L,4,H,M,H,,,,Peru,,,,,,,,,,,,,,,,,observation_00090,,,,,,
6.0,389817 Clip 1,Carolina,Y,H,Y,H,Y,H,4,H,H,,M,3,H,L,M,3,M,H,M,L,2,M,,L,1,L,L,2,M,L,L,2,L,M,M,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00091,,,,,,
6.0,389817 Clip 2,Carolina,Y,H,Y,H,Y,H,4,H,H,,M,4,H,L,H,3,L,H,H,L,2,M,,L,1,L,L,2,M,L,L,3,M,M,M,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00092,,,,,,
6.0,443614 Clip 1,Carolina,Y,H,Y,M,Y,H,4,H,H,,M,3,H,L,M,3,M,H,L,M,2,M,,L,2,M,L,2,L,M,M,2,L,M,M,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00093,,,,,,
6.0,443614 Clip 2,Carolina,Y,M,Y,M,N,,4,H,H,,M,3,H,L,M,3,M,H,L,L,2,M,,L,1,L,L,2,L,M,M,2,L,M,M,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00094,,,,,,
6.0,444869 Clip 1,Carolina,Y,H,Y,M,Y,M,4,H,M,,M,4,H,L,H,3,M,H,L,M,2,M,L,M,1,L,L,1,L,L,L,2,L,L,M,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00095,,,,,,
6.0,444869 Clip 2,Carolina,Y,M,Y,M,Y,M,4,H,H,,M,2,M,L,L,3,M,H,L,M,2,M,L,L,1,L,L,1,L,L,L,2,L,M,M,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00096,,,,,,
6.0,447268 Clip 1,Carolina,N,,Y,H,Y,H,4,H,H,,M,4,H,L,H,3,L,H,L,L,3,H,M,L,1,L,L,2,M,L,L,3,L,M,H,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00097,,,,,,
6.0,447268 Clip 2,Carolina,Y,H,Y,H,Y,H,4,H,H,,M,4,H,L,H,3,L,H,L,L,2,M,,L,2,M,L,2,M,L,L,3,L,M,H,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00098,,,,,,
6.0,447789 Clip 1,Carolina,Y,M,Y,M,Y,H,4,H,H,,M,2,M,L,M,3,H,H,L,L,2,M,,L,1,L,L,1,L,L,L,2,L,L,M,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00099,,,,,,
6.0,447789 Clip 2,Carolina,Y,M,Y,M,Y,M,4,H,M,,M,2,L,L,M,3,L,H,L,L,2,M,,L,1,L,L,1,L,L,L,2,L,M,M,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00100,,,,,,
6.0,556704 Clip 1,Tamara,Y,M,N,,Y,H,4,H,M,,M,3,H,L,H,2,L,M,L,L,2,M,,L,1,L,L,3,M,L,H,3,L,L,H,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00101,,,,,,
6.0,556704 Clip 2,Tamara,Y,H,Y,H,Y,H,3,H,L,,M,3,H,L,M,3,H,H,L,L,3,L,H,M,1,L,L,2,L,M,M,3,H,M,L,2,M,M,L,3,H,L,H,,,,Peru,,,,,,,,,,,,,,,,,observation_00102,,,,,,
6.0,588111 Clip 1,Tamara,Y,H,Y,H,Y,H,4,H,M,,M,3,H,L,H,3,H,H,L,L,3,H,M,L,2,M,L,4,H,M,M,3,M,M,M,2,M,L,L,3,H,L,H,,,,Peru,,,,,,,,,,,,,,,,,observation_00103,,,,,,
6.0,588111 Clip 2,Tamara,Y,L,Y,H,Y,H,4,H,M,H,M,3,H,L,H,4,M,H,L,H,3,H,L,L,3,L,H,2,L,M,M,3,L,H,M,2,M,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00104,,,,,,
6.0,652768 Clip 1,Tamara,Y,H,Y,H,Y,M,4,H,H,,M,3,H,L,H,4,M,H,L,H,2,M,,L,3,H,L,3,M,M,M,4,M,H,M,2,M,M,L,4,H,M,M,,,,Peru,,,,,,,,,,,,,,,,,observation_00105,,,,,,
6.0,652768 Clip 2,Tamara,Y,H,N,,Y,H,4,H,M,,M,3,H,L,H,2,M,M,L,M,2,L,M,L,3,H,L,4,H,M,M,4,M,H,H,2,L,M,L,3,M,L,H,,,,Peru,,,,,,,,,,,,,,,,,observation_00106,,,,,,
6.0,696211 Clip 1,Tamara,Y,H,Y,H,Y,H,4,H,M,,M,3,H,L,H,5,H,H,H,H,2,M,,L,3,H,L,4,H,M,M,3,L,H,H,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00107,,,,,,
6.0,696211 Clip 2,Tamara,Y,M,Y,M,Y,M,4,H,M,,M,3,H,L,H,2,M,H,L,L,2,M,,L,3,M,M,5,H,H,H,3,L,H,H,2,M,M,L,2,L,M,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00108,,,,,,
6.0,784199 Clip 1,Tamara,N,,Y,H,Y,H,4,M,M,H,M,3,H,L,H,4,M,H,H,L,2,M,M,L,2,M,L,3,M,M,M,3,L,L,H,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00109,,,,,,
6.0,784199 Clip 2,Tamara,Y,M,Y,M,Y,H,2,M,L,,M,2,M,L,M,2,L,M,M,L,2,L,M,L,1,L,L,2,L,M,M,2,L,M,L,2,L,M,L,2,L,L,M,,,,Peru,,,,,,,,,,,,,,,,,observation_00110,,,,,,
6.0,1109818 Clip 1,Tamara,Y,H,Y,H,Y,H,4,H,M,,M,3,H,L,H,4,H,H,L,H,3,H,H,L,2,M,L,2,L,M,M,3,L,H,H,2,L,M,L,2,L,M,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00111,,,,,,
6.0,1109818 Clip 2,Tamara,Y,H,Y,H,Y,H,4,H,H,,M,3,H,L,H,5,H,H,H,H,3,H,M,L,3,M,M,2,L,M,M,3,L,H,H,2,L,M,L,2,L,L,M,,,,Peru,,,,,,,,,,,,,,,,,observation_00112,,,,,,
7.0,206128 Clip 1,Tamara,Y,L,Y,L,Y,L,4,M,M,H,M,2,M,L,M,1,L,L,L,L,3,M,H,L,2,M,L,5,H,H,H,2,L,L,M,2,L,M,L,3,H,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00113,,,,,,
7.0,206128 Clip 2,Tamara,Y,M,Y,M,Y,L,4,L,H,H,M,1,L,L,L,2,L,M,L,L,1,L,,L,3,M,M,3,H,M,L,3,L,H,M,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00114,,,,,,
7.0,207258 Clip 1,Tamara,Y,H,N,,Y,H,4,H,H,,M,3,H,L,H,3,H,H,M,L,3,M,H,L,3,H,L,4,H,M,M,4,M,M,H,2,L,M,L,4,H,M,H,,,,Peru,,,,,,,,,,,,,,,,,observation_00115,,,,,,
7.0,207258 Clip 2,Tamara,N,,Y,H,Y,L,4,H,H,,M,2,M,L,M,2,M,H,L,L,3,M,H,L,2,M,L,3,M,M,M,3,L,M,H,2,L,M,L,3,H,L,H,,,,Peru,,,,,,,,,,,,,,,,,observation_00116,,,,,,
7.0,232512 Clip 1,Tamara,Y,H,Y,M,Y,M,3,M,M,,M,3,H,L,H,2,M,M,L,L,3,M,H,L,2,M,L,2,L,M,M,2,L,L,M,2,L,M,L,3,H,L,H,,,,Peru,,,,,,,,,,,,,,,,,observation_00117,,,,,,
7.0,232512 Clip 2,Tamara,Y,H,Y,M,Y,M,3,M,M,,M,3,H,L,H,2,M,M,L,L,3,M,H,L,1,L,L,2,L,M,M,2,L,L,M,2,L,M,L,3,H,L,H,,,,Peru,,,,,,,,,,,,,,,,,observation_00118,,,,,,
7.0,233692 Clip 1,Tamara,Y,H,Y,L,Y,M,2,M,L,,M,3,H,L,H,2,L,M,L,L,3,M,H,L,3,H,L,2,L,M,M,1,L,L,L,2,L,M,L,3,H,L,H,,,,Peru,,,,,,,,,,,,,,,,,observation_00119,,,,,,
7.0,233692 Clip 2,Tamara,Y,L,Y,M,Y,M,2,M,L,,M,3,H,L,H,1,L,L,L,L,3,L,H,L,1,L,L,1,L,L,L,1,L,L,L,2,L,M,L,3,H,L,H,,,,Peru,,,,,,,,,,,,,,,,,observation_00120,,,,,,
7.0,408856 Clip 1,Tamara,Y,M,Y,H,Y,H,4,M,H,H,M,3,H,L,H,4,M,H,L,H,4,M,H,M,3,H,L,3,L,H,H,2,L,L,M,2,L,M,L,3,L,H,M,,,,Peru,,,,,,,,,,,,,,,,,observation_00121,,,,,,
7.0,408856 Clip 2,Tamara,Y,H,Y,H,Y,H,3,M,M,,M,3,H,L,H,1,L,L,L,L,3,L,H,L,2,M,L,1,L,L,L,1,L,L,L,2,L,M,L,2,L,L,M,,,,Peru,,,,,,,,,,,,,,,,,observation_00122,,,,,,
7.0,410712 Clip 1,Tamara,Y,H,Y,H,Y,H,4,M,H,,M,3,H,L,H,2,H,M,L,L,2,M,M,L,2,M,L,3,M,M,M,2,L,L,M,2,L,M,L,3,H,L,H,,,,Peru,,,,,,,,,,,,,,,,,observation_00123,,,,,,
7.0,410712 Clip 2,Tamara,Y,H,Y,H,Y,M,4,H,H,,M,3,H,L,H,4,H,H,L,M,2,M,,L,2,M,L,4,H,M,M,4,M,H,M,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00124,,,,,,
7.0,486621 Clip 1,Tamara,Y,H,Y,M,Y,H,4,M,H,,M,3,H,L,H,3,H,H,H,L,2,M,,L,3,L,H,4,H,M,M,3,L,H,M,2,L,M,L,2,L,M,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00125,,,,,,
7.0,486621 Clip 2,Tamara,N,,Y,M,Y,H,4,M,H,,M,5,H,H,H,2,M,M,L,L,3,H,H,L,2,M,L,3,M,M,M,2,L,L,M,2,L,M,L,2,M,L,M,,,,Peru,,,,,,,,,,,,,,,,,observation_00126,,,,,,
7.0,487124 Clip 1,Tamara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peru,,,,,,,,,,,,,,,,,observation_00127,,,,,,
7.0,487124 Clip 2,Tamara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peru,,,,,,,,,,,,,,,,,observation_00128,,,,,,
7.0,587147 Clip 1,Tamara,Y,M,Y,M,Y,H,3,M,M,,M,3,H,L,H,4,H,H,M,M,2,M,,L,2,M,L,3,M,M,M,4,M,H,M,2,L,M,L,3,L,H,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00129,,,,,,
7.0,587147 Clip 2,Tamara,Y,H,N,,N,,3,M,M,,M,3,H,L,H,3,H,H,L,L,4,M,,H,3,H,L,3,M,M,M,2,L,M,M,2,L,M,L,3,H,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00130,,,,,,
7.0,688242 Clip 1,Tamara,Y,L,Y,L,Y,M,4,H,M,M,M,3,M,L,H,2,L,M,H,L,3,M,H,L,1,L,L,2,L,M,M,2,M,L,L,2,L,M,L,2,M,L,M,,,,Peru,,,,,,,,,,,,,,,,,observation_00131,,,,,,
7.0,688242 Clip 2,Tamara,Y,M,Y,L,Y,M,4,H,L,M,H,2,L,L,M,2,L,M,L,L,2,L,M,L,1,L,L,3,M,L,H,1,L,L,L,2,L,M,L,3,L,H,M,,,,Peru,,,,,,,,,,,,,,,,,observation_00132,,,,,,
7.0,818856 Clip 1,Tamara,N,,Y,M,Y,M,4,H,H,,M,5,H,H,H,4,M,H,M,M,3,M,H,L,1,L,L,3,M,M,M,2,M,L,M,2,L,M,L,4,M,H,M,,,,Peru,,,,,,,,,,,,,,,,,observation_00133,,,,,,
7.0,818856 Clip 2,Tamara,Y,H,N,,Y,L,4,H,H,H,M,3,M,L,H,2,M,M,M,L,3,M,H,L,2,L,M,3,M,M,M,2,M,L,L,2,L,M,L,3,M,M,M,,,,Peru,,,,,,,,,,,,,,,,,observation_00134,,,,,,
8.0,292714 Clip 1,Tamara,Y,H,Y,H,Y,H,4,H,H,,M,3,H,L,H,4,M,H,H,L,2,M,,L,2,M,L,4,H,M,M,3,L,L,H,3,L,H,L,2,L,M,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00135,,,,,,
8.0,292714 Clip 2,Tamara,Y,H,Y,M,Y,L,4,H,H,H,M,3,H,L,H,3,H,H,H,L,4,M,H,H,3,H,L,4,H,M,M,2,L,M,M,2,L,M,L,3,H,M,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00136,,,,,,
8.0,292730 Clip 1,Tamara,Y,M,N,,Y,H,4,H,H,H,M,3,H,L,H,2,M,M,L,L,3,H,M,L,1,L,L,2,L,M,M,1,L,L,L,2,L,M,L,2,L,M,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00137,,,,,,
8.0,292730 Clip 2,Tamara,Y,H,Y,H,Y,H,4,H,H,,M,3,H,L,H,2,M,H,L,L,3,H,,L,1,L,L,3,M,M,M,3,L,M,H,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00138,,,,,,
8.0,296012 Clip 1,Tamara,Y,H,Y,M,Y,H,3,H,L,,L,3,H,L,H,4,M,M,H,M,2,M,,L,1,L,L,1,L,M,L,2,L,L,M,2,L,M,L,2,L,M,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00139,,,,,,
8.0,296012 Clip 2,Tamara,Y,L,Y,M,Y,L,3,H,L,,M,3,H,L,H,3,M,M,H,L,2,M,,L,1,L,L,3,L,M,H,4,H,H,M,2,L,M,L,2,L,M,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00140,,,,,,
8.0,425207 Clip 1,Tamara,Y,H,Y,M,Y,H,4,H,H,,M,4,H,M,H,4,M,H,H,H,3,M,H,L,3,M,M,2,L,M,M,2,L,L,M,1,L,L,L,4,H,M,H,,,,Peru,,,,,,,,,,,,,,,,,observation_00141,,,,,,
8.0,425207 Clip 2,Tamara,Y,H,Y,H,Y,H,4,H,H,,M,3,H,L,H,3,H,H,L,L,3,H,,L,2,M,L,3,H,L,L,3,L,H,M,2,L,M,L,4,M,H,M,,,,Peru,,,,,,,,,,,,,,,,,observation_00142,,,,,,
8.0,425983 Clip 1,Tamara,Y,M,Y,H,Y,M,3,H,L,,M,3,M,L,H,3,M,H,H,L,4,M,M,H,2,M,L,3,H,L,L,2,L,M,L,2,L,M,L,2,M,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00143,,,,,,
8.0,425983 Clip 2,Tamara,Y,H,Y,M,Y,L,2,M,L,,M,3,H,L,M,2,M,M,L,L,3,H,H,L,3,H,L,1,L,L,L,1,L,L,L,1,L,L,L,2,L,L,M,,,,Peru,,,,,,,,,,,,,,,,,observation_00144,,,,,,
8.0,515916 Clip 1,Tamara,Y,H,Y,H,Y,H,4,H,H,H,M,3,H,L,H,2,H,M,L,L,2,M,,L,3,H,L,2,L,M,M,3,L,L,H,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00145,,,,,,
8.0,515916 Clip 2,Tamara,Y,H,Y,H,Y,M,4,M,H,,M,3,H,L,H,3,M,M,H,L,3,M,H,L,2,M,L,4,H,M,M,3,L,L,H,2,L,M,L,4,H,M,H,,,,Peru,,,,,,,,,,,,,,,,,observation_00146,,,,,,
8.0,541433 Clip 1,Tamara,Y,H,Y,H,Y,M,4,H,M,,M,3,H,L,H,4,H,H,M,H,5,H,,H,2,M,L,2,L,M,M,3,L,H,H,2,L,M,L,2,L,M,M,,,,Peru,,,,,,,,,,,,,,,,,observation_00147,,,,,,
8.0,541433 Clip 2,Tamara,Y,M,Y,H,Y,H,4,H,H,,M,5,H,H,H,4,H,H,L,H,2,M,,L,3,M,M,3,M,M,M,3,M,L,H,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00148,,,,,,
8.0,296160 Clip 1,Tamara,Y,M,N,,Y,H,4,H,H,,M,3,H,L,M,2,M,L,L,L,3,M,H,L,1,L,L,2,L,M,M,3,L,H,L,2,L,M,L,3,H,L,M,,,,Peru,,,,,,,,,,,,,,,,,observation_00149,,,,,,
8.0,296160 Clip 2,Tamara,Y,M,Y,M,N,,4,H,H,,M,3,H,L,H,3,M,H,L,M,2,M,,L,3,H,L,2,L,M,M,2,M,L,M,2,L,M,L,2,M,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00150,,,,,,
8.0,596775 Clip 1,Tamara,Y,H,Y,M,Y,H,4,H,H,H,M,3,H,L,H,2,L,H,L,L,2,M,M,L,2,M,L,3,L,H,H,3,L,L,H,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00151,,,,,,
8.0,596775 Clip 2,Tamara,Y,M,Y,M,Y,H,4,H,H,H,M,3,H,L,H,4,M,H,H,M,2,M,,L,3,H,L,5,H,H,H,3,L,L,H,2,L,M,L,2,L,M,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00152,,,,,,
8.0,624247 Clip 1,Tamara,Y,M,Y,M,Y,M,4,H,M,,M,3,H,L,H,3,H,H,M,L,3,M,H,L,3,H,L,4,M,H,H,3,L,H,H,2,L,M,L,4,H,M,H,,,,Peru,,,,,,,,,,,,,,,,,observation_00153,,,,,,
8.0,624247 Clip 2,Tamara,N,,Y,H,Y,M,4,H,M,,M,3,H,L,H,4,M,H,H,H,2,M,,L,3,H,L,3,M,M,M,3,L,H,H,2,L,M,L,2,M,L,M,,,,Peru,,,,,,,,,,,,,,,,,observation_00154,,,,,,
8.0,712513 Clip 1,Tamara,Y,L,Y,L,Y,L,4,H,H,H,M,2,M,L,M,4,H,H,H,M,2,M,,L,3,H,L,4,H,M,H,3,L,L,H,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00155,,,,,,
8.0,712513 Clip 2,Tamara,N,,N,,Y,M,4,H,H,H,M,2,M,L,M,2,M,M,L,L,2,M,,L,2,M,L,2,L,M,M,2,L,M,M,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00156,,,,,,
8.0,1176106 Clip 1,Tamara,Y,H,Y,H,Y,H,4,H,H,,M,3,H,L,H,3,L,M,H,L,2,M,,L,2,M,L,3,M,M,M,3,L,H,M,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00157,,,,,,
8.0,1176106 Clip 2,Tamara,N,,Y,M,Y,M,4,H,H,H,M,5,H,H,H,4,M,H,H,M,4,M,H,H,3,H,L,4,H,M,H,3,H,M,L,2,L,M,L,4,H,M,H,,,,Peru,,,,,,,,,,,,,,,,,observation_00158,,,,,,
8.0,1551092 Clip 1,Tamara,Y,L,Y,M,Y,M,4,H,H,,M,3,H,L,L,2,M,M,L,L,3,M,H,L,2,M,L,3,M,M,M,3,M,H,L,2,L,M,L,4,H,M,H,,,,Peru,,,,,,,,,,,,,,,,,observation_00159,,,,,,
8.0,1551092 Clip 2,Tamara,Y,M,Y,L,Y,L,4,H,H,H,M,3,H,L,H,3,M,M,L,H,3,L,H,M,3,H,L,2,L,M,M,1,L,L,L,2,L,M,L,3,H,L,H,,,,Peru,,,,,,,,,,,,,,,,,observation_00160,,,,,,
8.0,1661717 Clip 1,Tamara,Y,H,Y,M,Y,M,2,M,M,L,M,3,H,L,H,3,M,H,L,L,3,M,,M,2,M,L,3,M,M,M,2,L,M,M,2,L,M,L,2,L,M,M,,,,Peru,,,,,,,,,,,,,,,,,observation_00161,,,,,,
8.0,1661717 Clip 2,Tamara,N,,Y,L,Y,M,4,M,M,H,M,3,H,L,H,3,M,H,L,L,4,M,H,M,2,M,M,2,L,M,M,2,L,M,M,2,L,M,L,2,M,L,M,,,,Peru,,,,,,,,,,,,,,,,,observation_00162,,,,,,
9.0,281774 Clip 1,Tamara,Y,H,Y,H,Y,H,4,H,M,,M,3,H,L,H,4,M,H,H,H,2,M,,L,2,M,L,3,L,H,H,3,L,M,H,2,L,M,L,2,M,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00163,,,,,,
9.0,281774 Clip 2,Tamara,Y,H,Y,L,Y,L,4,H,H,,M,3,H,L,H,3,M,H,L,L,3,H,H,L,3,H,L,3,L,H,H,3,H,L,L,2,L,M,L,3,H,L,H,,,,Peru,,,,,,,,,,,,,,,,,observation_00164,,,,,,
9.0,363895 Clip 1,Tamara,Y,H,N,,N,,4,H,H,,M,3,H,L,M,4,H,H,M,M,3,H,,L,2,M,L,5,H,H,H,5,H,H,H,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00165,,,,,,
9.0,363895 Clip 2,Tamara,Y,H,Y,M,Y,M,3,M,M,,M,3,H,L,M,3,M,H,L,M,3,M,H,L,3,M,M,3,L,H,H,3,L,H,H,2,L,M,L,3,H,L,H,,,,Peru,,,,,,,,,,,,,,,,,observation_00166,,,,,,
9.0,712950 Clip 1,Tamara,Y,M,Y,M,Y,L,4,H,H,,M,3,H,L,H,3,M,H,L,L,3,H,M,L,2,L,L,3,H,L,L,4,H,H,M,1,L,L,L,2,M,L,M,,,,Peru,,,,,,,,,,,,,,,,,observation_00167,,,,,,
9.0,712950 Clip 2,Tamara,N,,N,,Y,M,4,H,H,,M,3,H,L,H,3,M,M,H,L,3,M,H,L,1,L,L,4,H,M,M,3,L,L,H,2,L,M,L,3,H,L,H,,,,Peru,,,,,,,,,,,,,,,,,observation_00168,,,,,,
9.0,868745 Clip 1,Tamara,N,,Y,H,Y,M,4,H,H,,M,3,H,L,M,3,M,H,H,L,2,M,,L,1,L,L,4,H,M,M,3,M,L,H,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00169,,,,,,
9.0,868745 Clip 2,Tamara,Y,H,Y,M,Y,L,3,H,L,,M,3,H,L,H,1,L,L,L,L,2,L,M,L,1,L,L,1,L,L,L,1,L,L,L,2,L,M,L,3,H,L,M,,,,Peru,,,,,,,,,,,,,,,,,observation_00170,,,,,,
9.0,1145317 Clip 1,Tamara,Y,H,Y,M,Y,L,4,H,H,,M,3,H,L,H,4,H,H,H,M,2,M,,L,1,L,L,3,H,M,L,3,L,M,H,2,L,M,L,1,L,L,L,,,,Peru,,,,,,,,,,,,,,,,,observation_00171,,,,,,
